Customer_ID,Age,Gender,Income,City,Location,Education,Banking_Type,Transactions_Per_Month,Internet_Usage_Score,Credit_Score,Satisfaction_Score
1,56,Male,145056,Bangalore,Urban,Non-Graduate,Online,10,4,424,6
2,69,Female,47133,Unknown,Rural,Post-Graduate,Online,24,5,458,3
3,46,F,44740,Nagpur,urban,Post-Graduate,Online,34,4,572,6
4,32,Male,120628,Ahmedabad,,Non-Graduate,,24,,505,6
5,60,,50976,,Urban,,,56,,690,4
6,25,,60067,Surat,Rural,,Online,25,8,834,5
7,38,male,31231,Mumbai,urban,Post-Graduate,,52,9,877,5
8,56,male,86105,Surat,rural,Non-Graduate,,15,5,422,6
9,36,Male,23328,Jaipur,Urban,Graduate,,12,2,550,6
10,40,Female,134828,Ahmedabad,urban,Non-Graduate,Offline,1,1,375,3
11,28,Female,45261,Hyderabad,Rural,Post-Graduate,Online,42,15,795,0
12,28,M,45262,Mumbai,,Non-Graduate,Online,56,9,342,0
13,41,female,23280,Bangalore,Rural,Non-Graduate,Online,9,5,584,2
14,,female,104683,Indore,,Graduate,Online,59,3,718,1
15,53,female,51742,,urban,,Offline,14,4,455,1
16,57,F,23590,Indore,urban,,,41,1,741,8
17,41,Female,136726,Lucknow,Rural,Graduate,Online,54,8,426,4
18,20,M,70226,Bhopal,Rural,Non-Graduate,Offline,31,1,621,5
19,39,male,107542,Ahmedabad,,Post-Graduate,,24,5,455,8
20,,,33570,Lucknow,Urban,Graduate,Offline,56,1,813,
21,19,female,120529,Patna,Rural,,,53,8,511,7
22,41,male,115129,Kolkata,Urban,,,52,5,758,4
23,61,male,133182,,Urban,Graduate,,10,5,472,7
24,47,Male,109443,Chennai,Urban,Non-Graduate,Online,42,7,832,3
25,55,F,29533,Lucknow,urban,,,43,6,509,6
26,19,M,128185,Lucknow,urban,Post-Graduate,Online,18,,483,2
27,38,F,145890,Indore,Urban,,,3,9,743,6
28,50,Male,102283,Lucknow,Urban,Post-Graduate,Offline,59,15,724,6
29,29,M,33366,Surat,urban,,Online,12,15,544,3
30,39,M,133819,Nagpur,,,,35,8,830,
31,61,Female,143947,Kolkata,rural,Post-Graduate,,44,8,347,9
32,42,F,96368,Patna,Rural,Post-Graduate,Offline,54,3,393,5
33,66,F,48325,Indore,Urban,,,23,3,758,5
34,44,Female,54798,Kolkata,urban,Non-Graduate,Online,22,5,508,1
35,59,male,59453,Indore,Urban,Non-Graduate,Offline,11,8,395,4
36,45,Male,42849,Surat,Urban,,Online,46,3,559,1
37,33,F,75943,,Urban,,,49,3,483,
38,32,Female,26157,,Urban,Post-Graduate,,23,8,689,1
39,64,,131972,Mumbai,,Graduate,Online,12,4,598,7
40,68,M,50178,Jaipur,Rural,,Offline,29,1,488,5
41,61,female,102537,Jaipur,Rural,Non-Graduate,,25,5,537,8
42,200,,49030,Lucknow,urban,Post-Graduate,Offline,24,5,869,4
43,69,Female,140125,Nagpur,,,Online,59,4,608,9
44,20,female,146026,,,,,53,6,822,0
45,54,male,71134,Indore,Rural,Graduate,Online,4,4,891,
46,68,Male,140398,,urban,,Offline,37,7,408,4
47,24,female,85729,Patna,,,Online,29,8,348,2
48,38,male,28164,Chennai,urban,Graduate,Online,3,15,853,3
49,26,female,106378,Nagpur,Rural,,Online,31,15,516,9
50,56,M,21119,,Urban,,Online,25,15,409,3
51,35,M,33351,Hyderabad,,,,47,1,493,1
52,21,M,76063,Pune,urban,Post-Graduate,Online,37,8,539,9
53,42,M,92076,Kolkata,Urban,,Online,23,4,831,2
54,31,Female,65162,,Rural,,,55,15,671,2
55,67,M,51760,,rural,Non-Graduate,,49,9,471,8
56,26,,69678,Delhi,,,,22,2,571,3
57,43,M,112064,,,,Offline,29,2,869,3
58,,,109074,Hyderabad,urban,Post-Graduate,,36,3,682,3
59,19,Female,139567,Surat,Rural,Non-Graduate,Online,51,15,704,6
60,37,M,117778,Pune,Rural,,,13,6,608,4
61,45,male,67628,Ahmedabad,,Non-Graduate,Offline,3,4,893,2
62,64,male,111894,Ahmedabad,,Post-Graduate,Online,46,5,437,4
63,24,F,124149,Ahmedabad,urban,Graduate,,22,8,422,3
64,61,male,60739,Ahmedabad,urban,Non-Graduate,Offline,49,7,793,7
65,25,Male,49738,Bangalore,rural,,Offline,53,8,561,
66,64,Male,137361,Chennai,Urban,Post-Graduate,Online,36,3,828,4
67,52,Male,66921,Mumbai,urban,,Online,10,15,567,1
68,31,Female,142448,Pune,Urban,Post-Graduate,,56,2,597,7
69,34,male,145277,Patna,,,,9,6,871,0
70,53,,81068,Chennai,rural,Post-Graduate,Offline,56,3,716,0
71,67,Male,43581,Unknown,rural,,Offline,55,1,591,4
72,57,F,115672,Unknown,rural,,Online,19,8,777,9
73,21,Female,41485,,Rural,Post-Graduate,Offline,8,15,834,4
74,19,F,112701,Pune,,Graduate,,33,3,544,0
75,23,male,56294,,Rural,Post-Graduate,,20,6,814,7
76,,M,73001,Pune,Rural,Graduate,,30,9,756,0
77,59,F,21634,Nagpur,rural,Non-Graduate,Online,35,7,878,0
78,21,M,63969,Lucknow,Rural,Post-Graduate,Offline,59,4,473,6
79,,Female,20093,Mumbai,,Non-Graduate,Online,31,6,564,6
80,46,F,48370,Jaipur,,Non-Graduate,Online,19,,894,2
81,35,F,39750,,Rural,,Online,50,9,833,5
82,43,female,126020,Mumbai,,Post-Graduate,Online,55,1,377,4
83,61,Female,132635,Jaipur,Urban,,Online,46,2,733,0
84,51,Female,137634,Surat,Rural,,,14,1,650,0
85,27,Male,36472,Ahmedabad,rural,Non-Graduate,Online,10,5,411,1
86,53,male,132545,Chennai,rural,,Online,3,5,683,9
87,31,F,38934,Ahmedabad,,Non-Graduate,,55,1,353,3
88,48,F,63774,Hyderabad,,Non-Graduate,Offline,34,15,352,9
89,65,,108057,,rural,Graduate,Online,51,1,544,1
90,32,Female,59125,,Urban,,,28,8,837,7
91,25,Female,86981,Lucknow,rural,Non-Graduate,,19,8,619,0
92,31,male,106541,Surat,Rural,,,39,1,834,9
93,40,Female,59103,Patna,rural,Graduate,,26,,878,2
94,57,M,103750,Hyderabad,urban,,Online,4,,422,3
95,38,M,80085,Surat,Urban,Post-Graduate,,12,7,812,
96,33,female,108705,Jaipur,Urban,Graduate,,26,4,327,2
