customer_id,age,gender,income,city,location,education,banking_type,transactions_per_month,internet_usage_score,credit_score,satisfaction_score,age_group,income_level
1.0,56.0,Male,145056.0,Bangalore,Urban,Non-Graduate,Online,10.0,4.0,424.0,6.0,51-65,High
2.0,69.0,Female,47133.0,Unknown,Rural,Post-Graduate,Online,24.0,5.0,458.0,3.0,65+,Low
3.0,46.0,F,44740.0,Nagpur,Urban,Post-Graduate,Online,34.0,4.0,572.0,6.0,36-50,Low
4.0,32.0,Male,120628.0,Ahmedabad,Urban,Non-Graduate,Online,24.0,5.0,505.0,6.0,26-35,High
5.0,60.0,Female,50976.0,Chennai,Urban,Non-Graduate,Online,56.0,5.0,690.0,4.0,51-65,Low
6.0,25.0,Female,60067.0,Surat,Rural,Non-Graduate,Online,25.0,8.0,834.0,5.0,18-25,Low
7.0,38.0,male,31231.0,Mumbai,Urban,Post-Graduate,Online,52.0,9.0,877.0,5.0,36-50,Low
8.0,56.0,male,86105.0,Surat,Rural,Non-Graduate,Online,15.0,5.0,422.0,6.0,51-65,Medium
9.0,36.0,Male,23328.0,Jaipur,Urban,Graduate,Online,12.0,2.0,550.0,6.0,36-50,Low
10.0,40.0,Female,134828.0,Ahmedabad,Urban,Non-Graduate,Offline,1.0,1.0,375.0,3.0,36-50,High
11.0,28.0,Female,45261.0,Hyderabad,Rural,Post-Graduate,Online,42.0,15.0,795.0,0.0,26-35,Low
12.0,28.0,M,45262.0,Mumbai,Urban,Non-Graduate,Online,56.0,9.0,342.0,0.0,26-35,Low
13.0,41.0,female,23280.0,Bangalore,Rural,Non-Graduate,Online,9.0,5.0,584.0,2.0,36-50,Low
14.0,43.0,female,104683.0,Indore,Urban,Graduate,Online,59.0,3.0,718.0,1.0,36-50,Medium
15.0,53.0,female,51742.0,Chennai,Urban,Non-Graduate,Offline,14.0,4.0,455.0,1.0,51-65,Low
16.0,57.0,F,23590.0,Indore,Urban,Non-Graduate,Online,41.0,1.0,741.0,8.0,51-65,Low
17.0,41.0,Female,136726.0,Lucknow,Rural,Graduate,Online,54.0,8.0,426.0,4.0,36-50,High
18.0,20.0,M,70226.0,Bhopal,Rural,Non-Graduate,Offline,31.0,1.0,621.0,5.0,18-25,Medium
19.0,39.0,male,107542.0,Ahmedabad,Urban,Post-Graduate,Online,24.0,5.0,455.0,8.0,36-50,High
20.0,43.0,Female,33570.0,Lucknow,Urban,Graduate,Offline,56.0,1.0,813.0,5.0,36-50,Low
21.0,19.0,female,120529.0,Patna,Rural,Non-Graduate,Online,53.0,8.0,511.0,7.0,18-25,High
22.0,41.0,male,115129.0,Kolkata,Urban,Non-Graduate,Online,52.0,5.0,758.0,4.0,36-50,High
23.0,61.0,male,133182.0,Chennai,Urban,Graduate,Online,10.0,5.0,472.0,7.0,51-65,High
24.0,47.0,Male,109443.0,Chennai,Urban,Non-Graduate,Online,42.0,7.0,832.0,3.0,36-50,High
25.0,55.0,F,29533.0,Lucknow,Urban,Non-Graduate,Online,43.0,6.0,509.0,6.0,51-65,Low
26.0,19.0,M,128185.0,Lucknow,Urban,Post-Graduate,Online,18.0,5.0,483.0,2.0,18-25,High
27.0,38.0,F,145890.0,Indore,Urban,Non-Graduate,Online,3.0,9.0,743.0,6.0,36-50,High
28.0,50.0,Male,102283.0,Lucknow,Urban,Post-Graduate,Offline,59.0,15.0,724.0,6.0,36-50,Medium
29.0,29.0,M,33366.0,Surat,Urban,Non-Graduate,Online,12.0,15.0,544.0,3.0,26-35,Low
30.0,39.0,M,133819.0,Nagpur,Urban,Non-Graduate,Online,35.0,8.0,830.0,5.0,36-50,High
31.0,61.0,Female,143947.0,Kolkata,Rural,Post-Graduate,Online,44.0,8.0,347.0,9.0,51-65,High
32.0,42.0,F,96368.0,Patna,Rural,Post-Graduate,Offline,54.0,3.0,393.0,5.0,36-50,Medium
33.0,66.0,F,48325.0,Indore,Urban,Non-Graduate,Online,23.0,3.0,758.0,5.0,65+,Low
34.0,44.0,Female,54798.0,Kolkata,Urban,Non-Graduate,Online,22.0,5.0,508.0,1.0,36-50,Low
35.0,59.0,male,59453.0,Indore,Urban,Non-Graduate,Offline,11.0,8.0,395.0,4.0,51-65,Low
36.0,45.0,Male,42849.0,Surat,Urban,Non-Graduate,Online,46.0,3.0,559.0,1.0,36-50,Low
37.0,33.0,F,75943.0,Chennai,Urban,Non-Graduate,Online,49.0,3.0,483.0,5.0,26-35,Medium
38.0,32.0,Female,26157.0,Chennai,Urban,Post-Graduate,Online,23.0,8.0,689.0,1.0,26-35,Low
39.0,64.0,Female,131972.0,Mumbai,Urban,Graduate,Online,12.0,4.0,598.0,7.0,51-65,High
40.0,68.0,M,50178.0,Jaipur,Rural,Non-Graduate,Offline,29.0,1.0,488.0,5.0,65+,Low
41.0,61.0,female,102537.0,Jaipur,Rural,Non-Graduate,Online,25.0,5.0,537.0,8.0,51-65,Medium
42.0,93.5,Female,49030.0,Lucknow,Urban,Post-Graduate,Offline,24.0,5.0,869.0,4.0,65+,Low
43.0,69.0,Female,140125.0,Nagpur,Urban,Non-Graduate,Online,59.0,4.0,608.0,9.0,65+,High
44.0,20.0,female,146026.0,Chennai,Urban,Non-Graduate,Online,53.0,6.0,822.0,0.0,18-25,High
45.0,54.0,male,71134.0,Indore,Rural,Graduate,Online,4.0,4.0,891.0,5.0,51-65,Medium
46.0,68.0,Male,140398.0,Chennai,Urban,Non-Graduate,Offline,37.0,7.0,408.0,4.0,65+,High
47.0,24.0,female,85729.0,Patna,Urban,Non-Graduate,Online,29.0,8.0,348.0,2.0,18-25,Medium
48.0,38.0,male,28164.0,Chennai,Urban,Graduate,Online,3.0,15.0,853.0,3.0,36-50,Low
49.0,26.0,female,106378.0,Nagpur,Rural,Non-Graduate,Online,31.0,15.0,516.0,9.0,26-35,Medium
50.0,56.0,M,21119.0,Chennai,Urban,Non-Graduate,Online,25.0,15.0,409.0,3.0,51-65,Low
51.0,35.0,M,33351.0,Hyderabad,Urban,Non-Graduate,Online,47.0,1.0,493.0,1.0,26-35,Low
52.0,21.0,M,76063.0,Pune,Urban,Post-Graduate,Online,37.0,8.0,539.0,9.0,18-25,Medium
53.0,42.0,M,92076.0,Kolkata,Urban,Non-Graduate,Online,23.0,4.0,831.0,2.0,36-50,Medium
54.0,31.0,Female,65162.0,Chennai,Rural,Non-Graduate,Online,55.0,15.0,671.0,2.0,26-35,Medium
55.0,67.0,M,51760.0,Chennai,Rural,Non-Graduate,Online,49.0,9.0,471.0,8.0,65+,Low
56.0,26.0,Female,69678.0,Delhi,Urban,Non-Graduate,Online,22.0,2.0,571.0,3.0,26-35,Medium
57.0,43.0,M,112064.0,Chennai,Urban,Non-Graduate,Offline,29.0,2.0,869.0,3.0,36-50,High
58.0,43.0,Female,109074.0,Hyderabad,Urban,Post-Graduate,Online,36.0,3.0,682.0,3.0,36-50,High
59.0,19.0,Female,139567.0,Surat,Rural,Non-Graduate,Online,51.0,15.0,704.0,6.0,18-25,High
60.0,37.0,M,117778.0,Pune,Rural,Non-Graduate,Online,13.0,6.0,608.0,4.0,36-50,High
61.0,45.0,male,67628.0,Ahmedabad,Urban,Non-Graduate,Offline,3.0,4.0,893.0,2.0,36-50,Medium
62.0,64.0,male,111894.0,Ahmedabad,Urban,Post-Graduate,Online,46.0,5.0,437.0,4.0,51-65,High
63.0,24.0,F,124149.0,Ahmedabad,Urban,Graduate,Online,22.0,8.0,422.0,3.0,18-25,High
64.0,61.0,male,60739.0,Ahmedabad,Urban,Non-Graduate,Offline,49.0,7.0,793.0,7.0,51-65,Low
65.0,25.0,Male,49738.0,Bangalore,Rural,Non-Graduate,Offline,53.0,8.0,561.0,5.0,18-25,Low
66.0,64.0,Male,137361.0,Chennai,Urban,Post-Graduate,Online,36.0,3.0,828.0,4.0,51-65,High
67.0,52.0,Male,66921.0,Mumbai,Urban,Non-Graduate,Online,10.0,15.0,567.0,1.0,51-65,Medium
68.0,31.0,Female,142448.0,Pune,Urban,Post-Graduate,Online,56.0,2.0,597.0,7.0,26-35,High
69.0,34.0,male,145277.0,Patna,Urban,Non-Graduate,Online,9.0,6.0,871.0,0.0,26-35,High
70.0,53.0,Female,81068.0,Chennai,Rural,Post-Graduate,Offline,56.0,3.0,716.0,0.0,51-65,Medium
71.0,67.0,Male,43581.0,Unknown,Rural,Non-Graduate,Offline,55.0,1.0,591.0,4.0,65+,Low
72.0,57.0,F,115672.0,Unknown,Rural,Non-Graduate,Online,19.0,8.0,777.0,9.0,51-65,High
73.0,21.0,Female,41485.0,Chennai,Rural,Post-Graduate,Offline,8.0,15.0,834.0,4.0,18-25,Low
74.0,19.0,F,112701.0,Pune,Urban,Graduate,Online,33.0,3.0,544.0,0.0,18-25,High
75.0,23.0,male,56294.0,Chennai,Rural,Post-Graduate,Online,20.0,6.0,814.0,7.0,18-25,Low
76.0,43.0,M,73001.0,Pune,Rural,Graduate,Online,30.0,9.0,756.0,0.0,36-50,Medium
77.0,59.0,F,21634.0,Nagpur,Rural,Non-Graduate,Online,35.0,7.0,878.0,0.0,51-65,Low
78.0,21.0,M,63969.0,Lucknow,Rural,Post-Graduate,Offline,59.0,4.0,473.0,6.0,18-25,Medium
79.0,43.0,Female,20093.0,Mumbai,Urban,Non-Graduate,Online,31.0,6.0,564.0,6.0,36-50,Low
